Angle,Inner_Radius,Outer_Radius,Distance
290,226.947130407062,332.5191723795787,105.57204197251673
291,226.73773395709856,332.0557182160849,105.31798425898637
292,226.55021518418383,330.92597359530424,104.37575841112042
293,226.11943746613204,330.6297022349928,104.51026476886076
294,225.94247055390008,329.887859734183,103.94538918028292
295,225.41739063346466,328.8236609491476,103.40627031568295
296,224.94888308235718,312.1602152741441,87.21133219178691
297,224.1182723474371,311.7338608492828,87.61558850184568
298,223.78561169118984,310.94211679989576,87.15650510870591
299,223.39650847763937,310.2289477144259,86.83243923678651
300,223.29352879114074,309.594896598765,86.30136780762425
301,194.50963986394095,308.7005021051958,114.19086224125488
302,164.21023110634732,307.4020169094536,143.19178580310628
303,162.8066337714775,307.0390854598157,144.2324516883382
304,162.28986413205232,305.92973049378514,143.63986636173283
305,161.23585209251695,305.4995908344232,144.26373874190625
306,160.80111939908875,304.8212591011329,144.02013970204416
307,159.62455951387932,304.00657887618155,144.38201936230223
308,160.2404443328837,303.4633421024688,143.2228977695851
309,161.33505508723144,302.0546308203203,140.71957573308887
310,162.48384535085327,301.65709008740373,139.17324473655046
311,163.68567438844488,301.21918929576844,137.53351490732356
312,164.26807358704855,300.2165884823822,135.94851489533363
313,165.51737068960466,299.24738929521175,133.73001860560709
314,165.46903033498444,299.1471209956733,133.67809066068884
315,165.46298679765212,298.3990616607231,132.93607486307096
316,166.20770138594662,297.1060416753587,130.8983402894121
317,165.6804152578089,296.5821977125397,130.9017824547308
318,165.75886099994776,306.2058131388103,140.44695213886254
319,165.95180023127196,310.1112703530783,144.15947012180632
320,164.92422502470643,310.3626910567699,145.43846603206347
321,164.2954655491137,310.0096772683072,145.71421171919351
322,164.62381358722072,309.2507073556987,144.62689376847797
323,164.61470165206995,308.6000648088072,143.98536315673724
324,163.682619724881,307.47520225214913,143.79258252726814
325,163.11039206623224,307.37599125501004,144.2655991887778
326,164.46884203398528,306.4718584144391,142.00301638045383
327,163.67040050051813,305.94934221207274,142.2789417115546
